COMPANY_NAME,CATEGORY,ASSESSMENT_TEXT
ADRIATIC SEA FISH,Compliance Enforcement,"Poor. There are no publicly available policies on IUU fishing or supply chain enforcement. The fact that the company's vessel is registered under a ""Flag of Convenience,"" as identified by Planet Tracker, indicates a high-risk profile for compliance issues."
ADRIATIC SEA FISH,Fishing Practices,"Poor. The company does not publicly disclose any information on its fishing methods, bycatch data, or mitigation measures. The only available information is that it owns a purse-seine vessel, but all operational details that would allow for a sustainability assessment are absent."
ADRIATIC SEA FISH,Management Governance,"Poor. No information is publicly available regarding the company's governance structure, board-level oversight for sustainability, or any collaboration with scientific or conservation groups. Its offshore status suggests a structure designed for opacity rather than public accountability."
ADRIATIC SEA FISH,Ocean Health,"Poor. There is a absence of public reporting, third-party assessments, or stated targets related to ocean health. The company does not disclose any efforts to mitigate its environmental impact or participate in stewardship initiatives."
ADRIATIC SEA FISH,Stock Sustainability,Poor. The company provides no evidence that it sources from sustainably managed fisheries or avoids overfished stocks. There is a total lack of disclosure regarding the status of the fish stocks it targets.
ADRIATIC SEA FISH,Transparency,"Poor. The company provides no public information on its ownership, operational activities, sourcing, or products. Publicly available information is limited to basic corporate‑registry data (including registration in the Cook Islands), and no active website or corporate reporting could be located, resulting in very low observable transparency."
AKER BIOMARINE AS,Compliance Enforcement,"Good. Aker BioMarine operates under the strict CCAMLR framework, which mitigates IUU risks, and has a supplier code of conduct. "
AKER BIOMARINE AS,Fishing Practices,"Good. The company is highly transparent about its innovative ""Eco-Harvesting"" technology, providing detailed descriptions of how it minimizes bycatch to exceptionally low levels. It publicly quantifies these low bycatch rates, which are verified by scientific research."
AKER BIOMARINE AS,Management Governance,Good. Aker BioMarine displays excellent governance with clear board-level oversight of sustainability and actively advocates for stronger fisheries management. The company's deep and long-standing collaborations with scientific bodies and conservation groups to improve ecosystem understanding are a testament to its commitment.
AKER BIOMARINE AS,Ocean Health,"Average. The company shows a strong commitment to ocean health through concrete, publicly stated goals for carbon reduction and by actively supporting the creation of Marine Protected Areas (although it has been debated whether that support is genuine). Its operations are regularly assessedand well ranked by third parties like MSC and SFP, However, controversies exist on the role that krill harvesting plays in affecting ecosystems in the Antarctic, given krill is the main source of feed for multiple groups of local species."
AKER BIOMARINE AS,Stock Sustainability,"Good. The company sources from one of the world's most precautionary and well-managed fisheries, as consistently verified by CCAMLR, the MSC, SFP, and the FAO. Its entire business is predicated on the long-term sustainability of the Antarctic krill stock, which is regularly monitored and assessed as being in very good condition."
