COMPANY_NAME,PT_SEAFOOD_DATABASE_ID,COUNTRY_HQ,MAIN_SEGMENT,SEG_FEED,SEG_FISHING,SEG_AQUACULTURE,SEG_PROCESSING,SEG_WHOLESALE,SEG_RETAIL,SEG_FOODSERVICE,DESCRIPTION,WEBSITE,REVENUE_USD_MN,MARKET_CAP_USD_MN,EBIT_MARGIN,RETURN_ON_EQUITY,ENTERPRISE_VALUE_USD_MN,NET_DEBT_EBITDA,SUSTAINABILITY_ASSESSMENT_CAT1_TRANSPARENCY_SCORE,SUSTAINABILITY_ASSESSMENT_CAT2_OCEAN_HEALTH_SCORE,SUSTAINABILITY_ASSESSMENT_CAT3_MANAGEMENT_GOVERNANCE_SCORE,SUSTAINABILITY_ASSESSMENT_CAT4_FISHING_PRACTICES_SCORE,SUSTAINABILITY_ASSESSMENT_CAT5_COMPLIANCE_ENFORCEMENT_SCORE,SUSTAINABILITY_ASSESSMENT_CAT6_STOCK_SUSTAINABILITY_SCORE,REPORTING_PRECISION,N_DISTINCT_COUNTRIES,N_DISTINCT_SPECIES,SPECIES_CLEAN,REGIONS
ADRIATIC SEA FISH,ID_2,Romania,Fishing,No,No,No,No,Yes,No,No,"Adriatic Sea Fisheries is a leading supplier and distributor of fresh and frozen seafood products, serving a diverse customer base including retail chains and high-end restaurants.",https://adriaticseafish.com/,,,,,,,1,1,1,1,1,1,0.0409633983,1,2,Shellfish,Romania
AKER BIOMARINE AS,ID_3,Norway,Integrated,Yes,Yes,Yes,Yes,Yes,No,No,"Aker BioMarine is a biotechnology and krill harvesting company with two segments: Ingredients (developing krill-based ingredients for nutraceuticals, dietary supplements, aquaculture, and pet food) and Brands (including Lang Pharma Nutrition for private label supplements and Epion Brands, which markets the Kori consumer brand in the US).",http://www.akerbiomarine.com,199.126887257,26.51631053,0.2010042336,-5.328007393,679.871757837,8.13564506,3,2,3,3,3,3,0.0778524245,1,1,Krill,"Area 48, Antarctica"
AKVA GROUP ASA,ID_4,Norway,Fishing and Aquaculture Gear and Equipment,No,No,No,No,No,No,No,"Akva Group ASA is a Norway-based global supplier of aquaculture technology, specializing in the design and manufacturing of equipment such as steel and plastic cages, work boats, feed systems, barges, sensor systems, and fish farming software.",http://www.akvagroup.com,327.073264118,215.266659942,4.912718881,10.640299493,345.357338111,3.693945072,2,3,3,0,0,0,0.05978470144,1,19,"Dicentrarchus Labrax, Gadus Morhua, Lates Calcarifer, Oncorhynchus Kisutch, Oncorhynchus Mykiss, Oncorhynchus Tshawytscha, Oreochromis Niloticus, Penaeus Monodon, Rachycentron Canadum, Salmo Salar, Salmon, Salvelinus Alpinus, Solea Solea, Sparus Aurata, Thunnus Thynnus, Trout",Global
ALBACORA GROUP,ID_5,Spain,Fishing,No,Yes,No,Yes,Yes,No,No,"Albacora Group is a Spanish tuna company whose fleet primarily harvests skipjack, yellowfin, and bigeye tuna, along with some albacore, across the Atlantic, Indian, and Pacific Oceans.",https://www.albacora.es,,,,39.668,,,2,2,3,2,1,2,1,3,5,"Albacore, Albacore Tuna, Bigeye Tuna, Skipjack Tuna, Yellowfin Tuna","Bermeo, Ecuador, Galicia"
ALDA SEAFOOD,ID_269,Netherlands,Integrated,No,Yes,No,Yes,Yes,No,No,"Alda Seafood Holding B.V. is a vertically integrated European seafood group based in Oegstgeest, Netherlands, created in 2019 from the European operations of Icelandic company Samherji. It operates a fleet of fishing vessels, processing plants and sales offices across Europe and North America, focusing on wild‑caught species such as cod, haddock, saithe, redfish, Greenland halibut, blue whiting, mackerel, jack mackerel and shrimp, most of which are frozen at sea and sold into European and Asian markets.",https://www.aldaholding.com/,,,,,,,2,2,3,1,2,2,0.6944524174,5,5,"Gadus Morhua, Melanogrammus Aeglefinus, Pollachius Virens, Reinhardtius Hippoglossoides, Sebastes","East Greenland, Spitsbergen, Norwegian Coast, Greenland, Spitsbergen, Norwegian Coast, Northeast Arctic, Northeast Arctic (Norwegian Waters, Svalbard), Northeast Arctic, North Sea, West Of Scotland"
AMERICAN SEAFOODS,ID_6,United States of America,Fishing,No,Yes,No,Yes,Yes,No,No,"American Seafoods operates six fishing vessels in the Bering Sea and North Pacific, functioning as the world’s largest at-sea processor of Alaska Pollock and holding the largest allocation of Pacific Hake.",,,,,,,,3,2,3,3,1,3,0.8957451647,5,10,"Alaska Cod, Alaska Pollock, Crab, King/Chinook Salmon, Pacific Halibut, Pacific Herring, Pacific Salmon, Wild Alaska Hake, Yellowfin Sole","Alaska, Aleutian Island, Norway, Oregon, Washington"
AMUR CAVIAR,ID_7,China,Processing,No,No,Yes,Yes,Yes,No,No,"This company originally processed and traded wild sturgeon caviar but shifted its focus to aquaculture and breeding, selling fish eggs/seeds as wild stocks declined. It now operates across aquaculture, wholesale/distribution, and other related activities, dealing with 7 species.",http://www.amurcaviar.cn,,,,,,,2,1,2,0,2,3,0.8888889444,11,9,"Acipenser, Acipenser Baerii, Acipenser Schrenckii, Amur River Sturgeon Caviar, European Catfish, Huso Dauricus, Russian Sturgeon, Siberian Sturgeon Caviar, Wild Sturgeon Caviar","Beijing, China, Chongqing, Hebei, Heilongjiang, Qiandao Lake, Zhejiang, China, Qujing, Russia, Shaxian, Wangqing, Yunnan"
ANDFJORD SALMON AS,ID_8,Norway,Aquaculture,No,No,Yes,No,No,No,No,"Andfjord Salmon AS is a Norway-based Atlantic salmon farming company utilizing a patented land-based seawater flow-through system for aquaculture, and also sells salmon-related food products through restaurants.",https://www.andfjordsalmon.com/en/,0.01767812429,103.110517417,,-5.975911284,312.270649629,-16.818174635,2,3,3,2,2,3,1,1,1,Atlantic Salmon,Andøya
ANDREW MARR INTERNATIONAL LIMITED,ID_9,United Kingdom,Wholesale/Distribution,No,Yes,No,Yes,Yes,Yes,Yes,"Andrew Marr International Limited, a UK-based global company, operates across logistics, sourcing, trading, and distribution, with a primary focus on seafood through its six specialized subsidiaries.",http://amiuk.co.uk,,,,,,-0.6877578603,1,1,2,1,1,2,0.674328744,35,79,"Anchovies, Barracuda, Barramundi, Black Cod, Blue Whiting, Bogue, Brill, Bullet Tuna, Catfish, Chalkstream Trout, Cichlidae, Cod, Cod Cheek, Crab, Crevettes, Dog Fish, Dover Sole, Farmed Bass, Farmed Bream, Fish, Frog, Haddock, Hake, Halibut, Herring, John Dory, Kahawai, Kipper, Langoustine, Lemon Sole, Ling, Lobster, Mackerel, Mahi Mahi, Meagre, Megrim, Monk Cheek, Monkfish, Mullet, Mussel, Oyesters, Pacific Hake, Pacific Herring, Pangasius, Parrotfish, Plaice, Prawn, Ray Wings, Red Bellied Pacu, Red Mullet, Red Snapper, Reef Cod, Rock Fish, Saithe, Salmon, Sardinella, Scallops, Scampi, Sea Reared Trout, Sea Trout, Seabass, Shrimp, Skipjack Tuna, Snail, Soft Shell Crabs, Squid, Swordfish, Tilapia, Toothfish, Turbot, White Croaker, Whiting, Witch Sole, Wolffish, Yellow Croaker, Yellow Tail/Amberjack, Yellowfin Sole","27 Atlantic, Northeast, 67 Pacific, Northeast, Argentina, Atlantic, Canada, Chile, China, Ecuador, Faroe Islands, Iceland, India, Indonesia, Ireland, Japan, Korea, Mauritania, Morocco, Namibia, New Zealand, Norway, Oman, Pacific, Peru, Russia, Scotland, Senegal, Shetland, South Africa, Spain, Sri Lanka, Thailand, United Kingdom, Uruguay, Us, Vietnam"
ASIAN SEA CORP PUBLIC CO LTD,ID_10,Thailand,Wholesale/Distribution,No,No,No,Yes,Yes,No,No,"Asian Sea Corporation Public Company Limited is a Thailand-based producer and exporter of processed frozen seafood. Its operations are structured into Frozen Food, Petfood, Tuna, Feed, and Distribution segments.",http://www.asianseafoods.co.th,305.427258138,53.941982948,10.862089869,13.317221528,206.148914917,-0.5272951852,1,2,2,1,2,1,0.5607492309,3,10,"Black Tiger Shrimp, Catfish, Crab, Frog, Sea Bass, Shrimp, Sillago, Squid, Tuna, White Shrimp","China, Germany, Thailand"
